age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,study_to_social_ratio,total_distraction_hours,wellbeing_index,performance_label
23,0.0,0.0,1.2,1.1,0,85.0,8.0,1,6,2,1,8,1,56.2,0.0,2.3,2.2,Average (50-64)
20,0.0,6.9,2.8,2.3,0,97.3,4.6,2,6,0,1,8,0,100.0,1.3503,5.1,1.86,Excellent (≥80)
21,1.0,1.4,3.1,1.3,0,94.8,8.0,0,1,0,0,1,0,34.3,0.3175,4.4,1.0,Low (<50)
23,0.0,1.0,3.9,1.0,0,71.0,9.2,0,4,2,2,1,1,29.898,0.2037,4.9,1.42,Low (<50)
19,0.0,5.0,4.4,0.5,0,90.9,4.9,1,3,2,2,1,0,66.4,1.0183,4.9,0.89,Good (65-79)
24,1.0,7.2,1.3,0.0,0,82.9,7.4,1,1,2,1,4,0,100.0,5.4962,1.3,1.24,Excellent (≥80)
21,0.0,5.6,1.5,1.4,1,85.8,6.5,2,2,2,0,4,0,89.8,1.9244,2.9,1.25,Excellent (≥80)
21,0.0,4.3,1.0,2.0,1,77.7,4.6,1,0,1,1,8,0,72.6,1.4286,3.0,1.26,Good (65-79)
23,0.0,4.4,2.2,1.7,0,100.0,7.1,2,3,1,2,1,0,78.9,1.1253,3.9,1.11,Good (65-79)
18,0.0,4.8,3.1,1.3,0,95.4,7.5,2,5,1,2,10,1,100.0,1.0884,4.4,2.25,Excellent (≥80)
19,0.0,4.6,3.7,0.8,0,77.6,5.8,1,1,0,2,3,0,63.3,1.02,4.5,0.98,Average (50-64)
23,1.0,3.9,2.4,2.5,0,71.7,7.9,1,2,1,1,1,0,74.4,0.7943,4.9,1.09,Good (65-79)
19,0.0,3.7,2.1,0.4,1,81.1,4.5,1,1,1,2,9,0,76.9,1.4741,2.5,1.45,Good (65-79)
19,0.0,3.4,2.7,2.7,0,89.3,4.7,1,4,1,2,10,0,75.8,0.6285,5.4,1.87,Good (65-79)
24,1.0,2.4,1.5,0.7,0,87.4,6.7,0,6,1,1,9,0,78.9,1.086,2.2,2.17,Good (65-79)
21,1.0,3.1,5.0,1.0,0,97.5,6.5,2,6,0,1,7,0,74.0,0.5158,6.0,1.95,Good (65-79)
20,1.0,1.0,0.6,0.2,0,92.9,5.6,0,3,0,0,8,1,55.2,1.2346,0.8,1.66,Average (50-64)
24,0.0,3.4,2.7,1.2,0,94.7,7.5,0,0,0,1,1,1,70.8,0.8696,3.9,0.85,Good (65-79)
24,,2.0,4.9,2.9,1,88.3,7.1,2,2,0,2,5,0,43.9,0.2561,7.8,1.41,Low (<50)
19,1.0,1.8,2.5,2.4,0,71.1,7.5,1,1,0,1,2,0,45.3,0.3666,4.9,1.05,Low (<50)
22,0.0,3.8,2.3,2.9,0,83.0,6.4,2,3,2,2,1,0,58.5,0.7294,5.2,1.04,Average (50-64)
21,1.0,5.6,2.1,2.4,0,95.6,7.2,1,1,0,2,3,0,82.5,1.2417,4.5,1.12,Excellent (≥80)
18,,4.9,2.3,0.6,0,84.5,6.0,1,3,0,1,7,0,98.7,1.6838,2.9,1.6,Excellent (≥80)
24,0.0,1.1,4.1,1.4,1,90.0,9.0,1,6,1,2,1,0,43.7,0.1996,5.5,1.6,Low (<50)
20,0.0,2.0,0.0,0.9,1,81.8,5.5,1,4,1,1,2,0,54.9,2.1978,0.9,1.15,Average (50-64)
22,1.0,4.9,4.3,3.3,0,74.7,9.0,1,1,0,1,2,1,69.9,0.6439,7.6,1.2,Good (65-79)
22,1.0,2.0,0.8,0.5,0,83.8,6.5,2,4,1,0,4,0,73.5,1.5267,1.3,1.45,Good (65-79)
18,1.0,3.2,2.2,2.8,1,88.1,4.8,1,5,1,1,3,0,71.1,0.6387,5.0,1.28,Good (65-79)
24,1.0,4.3,2.0,2.8,1,78.4,8.1,2,5,0,0,3,1,82.8,0.894,4.8,1.61,Excellent (≥80)
20,0.0,2.0,3.2,3.8,1,82.6,6.7,0,6,0,0,10,1,75.7,0.2853,7.0,2.27,Good (65-79)
21,0.0,3.7,0.6,1.3,0,75.6,7.5,1,2,2,1,5,0,70.6,1.9372,1.9,1.45,Good (65-79)
17,,1.5,3.1,2.6,1,96.2,8.0,1,4,1,1,3,1,51.3,0.2627,5.7,1.5,Average (50-64)
20,,2.6,4.9,4.3,0,82.1,6.9,2,3,1,2,7,0,52.1,0.2823,9.2,1.69,Average (50-64)
18,0.0,4.0,0.9,1.1,0,99.5,5.8,0,2,0,1,5,0,70.7,1.99,2.0,1.28,Good (65-79)
22,0.0,1.1,2.7,0.1,0,100.0,7.7,1,1,0,2,4,0,51.2,0.3915,2.8,1.27,Average (50-64)
21,0.0,4.2,1.7,0.0,1,84.2,6.5,2,1,1,1,3,0,72.6,2.4561,1.7,1.05,Good (65-79)
20,0.0,3.5,3.0,2.6,0,74.9,7.3,1,3,0,2,4,0,70.7,0.6239,5.6,1.43,Good (65-79)
17,1.0,4.3,2.5,0.0,1,64.1,3.9,2,0,0,1,2,0,59.4,1.7131,2.5,0.59,Average (50-64)
17,1.0,3.8,1.7,1.4,0,70.3,7.0,0,0,1,2,1,0,58.1,1.2219,3.1,0.8,Average (50-64)
19,1.0,5.5,3.1,2.3,0,71.3,5.7,2,1,0,1,3,0,82.3,1.0166,5.4,0.97,Excellent (≥80)
19,0.0,3.7,4.7,2.0,0,98.8,8.5,2,6,1,2,2,0,69.7,0.5514,6.7,1.65,Good (65-79)
23,0.0,2.9,2.3,2.3,0,86.2,7.2,2,6,1,1,1,0,66.0,0.6291,4.6,1.42,Good (65-79)
18,1.0,3.7,3.4,2.0,0,88.9,6.8,1,3,0,0,1,1,63.5,0.6839,5.4,1.08,Average (50-64)
24,0.0,4.3,0.9,3.2,0,62.8,7.1,0,0,1,2,2,0,65.7,1.0462,4.1,0.91,Good (65-79)
20,0.0,3.6,1.4,0.8,0,73.0,5.3,2,4,0,0,9,0,78.5,1.629,2.2,1.83,Good (65-79)
20,1.0,3.6,3.1,1.1,0,93.9,8.4,1,1,1,1,5,1,75.1,0.8551,4.2,1.44,Good (65-79)
24,1.0,2.4,4.3,1.0,0,87.9,8.9,0,5,0,1,9,1,71.0,0.452,5.3,2.29,Good (65-79)
23,0.0,2.5,2.9,2.7,0,83.5,7.0,2,4,0,2,8,1,59.7,0.4456,5.6,1.9,Average (50-64)
22,0.0,1.4,2.1,2.8,0,90.6,8.4,1,3,1,2,6,0,52.6,0.2851,4.9,1.74,Average (50-64)
22,0.0,6.1,2.5,2.3,0,100.0,5.8,0,5,0,1,1,0,96.5,1.2682,4.8,1.18,Excellent (≥80)
23,0.0,1.6,1.0,3.1,0,82.8,5.5,1,4,2,2,10,1,62.0,0.3893,4.1,1.95,Average (50-64)
22,0.0,2.5,3.2,0.5,0,85.7,6.5,0,0,0,1,5,0,59.7,0.6739,3.7,1.15,Average (50-64)
19,0.0,2.4,3.6,3.6,0,86.9,7.0,1,6,0,1,1,0,48.4,0.3329,7.2,1.4,Low (<50)
20,0.0,4.8,2.0,3.5,0,100.0,6.0,2,0,1,2,7,1,70.6,0.8711,5.5,1.3,Good (65-79)
23,0.0,3.1,1.9,2.6,1,64.0,7.1,1,5,0,2,10,0,68.1,0.6874,4.5,2.21,Good (65-79)
20,1.0,5.4,2.8,3.8,0,91.8,6.9,2,2,0,2,8,0,87.2,0.8169,6.6,1.69,Excellent (≥80)
24,1.0,2.5,2.0,0.0,0,83.9,5.3,2,6,1,1,8,0,66.7,1.2438,2.0,1.93,Good (65-79)
17,1.0,3.9,2.4,1.2,0,90.7,7.1,2,1,1,1,7,1,75.2,1.0803,3.6,1.51,Good (65-79)
19,0.0,2.2,5.0,1.0,0,78.4,7.5,0,5,2,1,2,1,46.4,0.3661,6.0,1.45,Low (<50)
21,0.0,6.7,2.2,2.6,0,84.5,6.7,2,3,2,1,5,1,97.1,1.3929,4.8,1.47,Excellent (≥80)
19,0.0,1.7,2.1,0.6,1,92.1,7.9,1,1,0,1,4,0,61.2,0.6273,2.7,1.29,Average (50-64)
23,1.0,4.0,1.7,2.6,0,100.0,5.0,1,4,1,2,5,0,75.0,0.9281,4.3,1.4,Good (65-79)
